ts_code,trade_date,Signal,open,close,stop,Down,action
601088.SH,20250730,B,38.01,38.5,37.345,0.0495,buy
603393.SH,20250730,B,29.17,29.5,28.615,0.0099,buy
603613.SH,20250730,S,24.34,24.11,,-0.0597,sell
601156.SH,20250731,S,14.61,14.08,,-0.0509,sell
603393.SH,20250731,S,29.55,28.73,,-0.0729,sell
600426.SH,20250731,T,24.8,23.98,,-0.1037,sell
000963.SZ,20250731,S,44.88,44.3,,-0.0796,sell
600600.SH,20250731,S,68.99,67.92,,-0.1067,sell
000807.SZ,20250801,B,15.55,15.68,15.2096,0.0057,buy
601088.SH,20250801,S,38.17,37.56,,-0.0645,sell
605117.SH,20250801,B,51.11,51.95,50.3915,0.077,buy
601021.SH,20250804,B,51.81,52.3,50.730999999999995,0.0825,buy
300815.SZ,20250805,B,20.17,20.65,20.030499999999996,0.034,buy
601919.SH,20250805,B,15.44,15.46,14.9962,0.0162,buy
603613.SH,20250805,B,23.79,24.16,23.4352,0.0526,buy
600426.SH,20250806,B,23.7,23.68,22.9696,0.0229,buy
300815.SZ,20250808,S,21.35,21.37,,-0.0424,sell
603613.SH,20250808,T,23.68,23.41,,-0.0375,sell
605117.SH,20250812,S,52.48,52.07,,-0.0412,sell
601021.SH,20250814,S,52.88,52.3,,-0.0521,sell
600426.SH,20250818,S,24.55,24.02,,-0.0615,sell
600861.SH,20250818,B,20.84,20.79,20.1663,0.0012,buy
000807.SZ,20250818,S,17.55,17.32,,-0.0445,sell
603393.SH,20250821,B,30.32,30.48,29.5656,0.0154,buy
605117.SH,20250822,B,56.57,58.51,56.7547,0.073,buy
300815.SZ,20250825,B,27.2,27.66,26.830199999999998,0.0706,buy
000807.SZ,20250825,B,17.67,18.04,17.4988,0.0488,buy
605117.SH,20250826,S,60.0,59.98,,-0.1672,sell
603393.SH,20250827,S,30.8,30.47,,-0.0408,sell
300815.SZ,20250827,T,27.3,26.29,,-0.0143,sell
600938.SH,20250827,S,25.89,25.47,,-0.0531,sell
601919.SH,20250829,S,15.6,15.28,,-0.0654,sell
000963.SZ,20250829,B,43.6,44.3,42.971,0.0214,buy
601088.SH,20250901,B,37.6,37.9,36.763,0.0416,buy
600861.SH,20250903,T,20.22,20.0,,-0.0167,sell
601021.SH,20250903,B,52.11,52.29,50.7213,0.0243,buy
000807.SZ,20250903,S,19.65,19.15,,-0.0697,sell
603393.SH,20250904,B,29.06,28.85,27.9845,0.0117,buy
000963.SZ,20250904,T,45.35,42.55,,-0.2239,sell
603613.SH,20250905,B,27.25,28.7,27.839,0.0995,buy
000807.SZ,20250905,B,18.63,19.18,18.604599999999998,0.0112,buy
600426.SH,20250908,B,26.24,27.57,26.7429,0.128,buy
601156.SH,20250908,B,14.8,15.25,14.7925,0.0557,buy
601021.SH,20250910,S,53.76,53.32,,-0.0888,sell
600426.SH,20250910,T,26.77,26.54,,-0.039,sell
000807.SZ,20250910,T,18.7,18.58,,-0.019,sell
603613.SH,20250911,S,31.55,31.9,,-0.0756,sell
601088.SH,20250912,S,38.32,37.76,,-0.0508,sell
601021.SH,20250916,B,52.62,53.5,51.894999999999996,0.0816,buy
603613.SH,20250916,B,31.32,32.96,31.9712,0.0853,buy
