date,total_cash
20250808113000,101571.26288428
20250808130100,101618.26288428
20250808130200,101589.26288428
20250808130300,101593.26288428
20250808130400,101688.26288428
20250808130500,101708.26288428
20250808130600,101729.26288428
20250808130700,101737.26288428
20250808130800,101809.26288428
20250808130900,101750.26288428
20250808131000,101787.26288428
20250808131100,101760.26288428
20250808131200,101763.26288428
20250808131300,101819.26288428
20250808131400,101802.26288428
20250808131500,101849.26288428
20250808131600,101857.26288428
20250808131700,101882.26288428
20250808131800,101860.26288428
20250808131900,101772.26288428
20250808132000,101759.26288428
20250808132100,101798.26288428
20250808132200,101786.26288428
20250808132300,101783.26288428
20250808132400,101757.26288428
20250808132500,101717.26288428
20250808132600,101718.26288428
20250808132700,101643.26288428
20250808132800,101578.26288428
20250808132900,101584.26288428
20250808133000,101547.26288428
20250808133100,101603.26288428
20250808133200,101602.26288428
20250808133300,101656.26288428
20250808133400,101640.26288428
20250808133500,101628.26288428
20250808133600,101624.26288428
20250808133700,101626.26288428
20250808133800,101628.26288428
20250808133900,101644.26288428
20250808134000,101651.26288428
20250808134100,101654.26288428
20250808134200,101655.26288428
20250808134300,101656.26288428
20250808134400,101672.26288428
20250808134500,101643.26288428
20250808134600,101630.26288428
20250808134700,101601.26288428
20250808134800,101610.26288428
20250808134900,101615.26288428
20250808135000,101611.26288428
20250808135100,101655.26288428
20250808135200,101640.26288428
20250808135300,101648.26288428
20250808135400,101639.26288428
20250808135500,101656.26288428
20250808135600,101662.26288428
20250808135700,101634.26288428
20250808135800,101601.26288428
20250808135900,101607.26288428
20250808140000,101591.26288428
20250808140100,101690.26288428
20250808140200,101696.26288428
20250808140300,101735.26288428
20250808140400,101701.26288428
20250808140500,101703.26288428
20250808140600,101720.26288428
20250808140700,101712.26288428
20250808140800,101750.26288428
20250808140900,101745.26288428
20250808141000,101705.26288428
20250808141100,101677.26288428
20250808141200,101661.26288428
20250808141300,101672.26288428
20250808141400,101651.26288428
20250808141500,101670.26288428
20250808141600,101676.26288428
20250808141700,101665.26288428
20250808141800,101599.26288428
20250808141900,101603.26288428
20250808142000,101629.26288428
20250808142100,101604.26288428
20250808142200,101586.26288428
20250808142300,101602.26288428
20250808142400,101584.26288428
20250808142500,101572.26288428
20250808142600,101585.26288428
20250808142700,101556.26288428
20250808142800,101559.26288428
20250808142900,101551.26288428
20250808143000,101555.26288428
20250808143100,101611.26288428
20250808143200,101598.26288428
20250808143300,101570.26288428
20250808143400,101595.26288428
20250808143500,101573.26288428
20250808143600,101578.26288428
20250808143700,101602.26288428
20250808143800,101602.26288428
20250808143900,101597.26288428
20250808144000,101603.26288428
20250808144100,101632.26288428
20250808144200,101606.26288428
20250808144300,101642.26288428
20250808144400,101614.26288428
20250808144500,101624.26288428
20250808144600,101683.26288428
20250808144700,101656.26288428
20250808144800,101713.26288428
20250808144900,101722.26288428
20250808145000,101754.26288428
20250808145100,101728.26288428
20250808145200,101744.26288428
20250808145300,101743.26288428
20250808145400,101756.26288428
20250808145500,101747.26288428
20250808145600,101730.26288428
20250808145700,101776.26288428
20250808145800,101767.26288428
20250808145900,101767.26288428
20250808150000,101766.26288428
20250811093000,101704.26288428
20250811093100,101599.26288428
20250811093200,101326.26288428
20250811093300,101324.26288428
20250811093400,101374.26288428
20250811093500,101370.26288428
20250811093600,101342.26288428
20250811093700,101413.26288428
20250811093800,101430.26288428
20250811093900,101468.26288428
20250811094000,101391.26288428
20250811094100,101269.26288428
20250811094200,101316.26288428
20250811094300,101334.26288428
20250811094400,101353.26288428
20250811094500,101307.26288428
20250811094600,101314.26288428
20250811094700,101256.26288428
20250811094800,101220.26288428
20250811094900,101268.26288428
20250811095000,101327.26288428
20250811095100,101352.26288428
20250811095200,101357.26288428
20250811095300,101420.26288428
20250811095400,101393.26288428
20250811095500,101404.26288428
20250811095600,101371.26288428
20250811095700,101382.26288428
20250811095800,101395.26288428
20250811095900,101363.26288428
20250811100000,101365.26288428
